district,latitude,longitude
24 parganas (NORTH DISTRICT),22.5919675,88.39957005
24 PARGANAS (SOUTH DISTRICT),22.5919675,88.39957005
ADILABAD,19.6759452,78.5339895
AGAR,23.7127275,76.0176929
AGRA,27.1752554,78.0098161
AHMADABAD,23.0216238,72.5797068
AHMADNAGAR,19.25,74.75
AJMER,26.4691,74.639
AKOLA,20.77031765,77.19080604
ALAPPUZHA,9.460189,76.28433466
ALIGARH,27.8815412,78.0690216
ALIRAJPUR,22.29186455,74.35774313
ALLAHABAD,25.4381302,81.8338005
ALMORA,29.6016827,79.6633829
ALWAR,27.5,76.5
AMBALA,30.3843674,76.770421
AMBEDKAR NAGAR,26.40349795,82.60728149
AMRAVATI,21.0857492,77.666978
AMRELI,20.866667,70.75
AMRITSAR,31.6343083,74.8736788
ANAND,22.5584995,72.9625629
ANANTNAG,33.7366359,75.1457394
ANANTPUR,13.5831868,78.521165
ANUGUL,20.8411255,85.08040066
ANUPPUR,23.03480545,81.75026641
ARARIA,26.26673945,87.35618411
ARIYALUR,11.1357708,79.0723203
ARWAL,25.18670025,84.67069631
ASHOKNAGAR,24.576189,77.7302895
AURAIYA,26.5193129,79.46988383
AURANGABAD,24.75,84.5
AZAMGARH,26,83
BADAUN,27.94225275,79.20666095
BADGAM,33.9195027,74.63709185
BAGALKOT,16.1853166,75.6967919
BAGESHWAR,29.8084257,79.7817012
BAGHPAT,29.03877105,77.30757938
BAHRAICH,27.49816515,81.79547674
BAKSA,26.62781825,91.46148578
BALAGHAT,21.8133417,80.1916685
BALANGIR,20.75,83.25
BALASORE,21.5017098,86.9216712
BALLIA,25.833333,84.166667
BALRAMPUR,27.4295126,82.1854602
BANAS KANTHA,24.25,72.5
BANDA,25.5008211,80.499762
BANGALORE (RURAL),13.0010872,77.3361225
BANGALORE (URBAN),12.94514225,77.553645
BANKA,24.83332585,86.81339315
BANKURA,23.25,87.25
BANSWARA,23.5,74.333333
BARABANKI,26.93823105,81.38609761
BARAMULLA,34.2086903,74.343498
BARAN,24.921569,76.68279975
BARDDHAMAN,23.25,87.75
BAREILLY,28.3523609,79.4096542
BARGARH,21.3474637,83.65427922
BARMER,25.75,71.5
BARNALA,30.3762012,75.5435927
BARPETA,26.34142215,91.01674328
